ahl,atc,mean sfgfp,cv sfgfp,mean mcherry,cv mcherry
0,0.672717132,585.5392655,0.695527294,508.5852552,1.06536715
0,0.897969639,753.7019995,0.627592873,304.9096019,1.389137848
0,1.198645662,899.6277328,0.554709488,130.1427941,1.9652634
0,1.6,1131.590241,0.520060558,65.08272403,3.030096045
0,2.135743767,1584.139017,0.433045071,22.79348336,4.905540211
0,2.850875898,2239.213076,0.387349601,17.43226372,7.341072366
0,3.805462768,2993.316683,0.348850252,9.608154524,4.84275801
0,5.079683366,3445.84687,0.318369632,7.555855377,
0,6.780563804,4525.186036,0.283776613,8.375175284,
0,9.050966799,4969.409342,0.270558075,10.18465628,
0,12.0815912,5493.796902,0.268212556,12.61770306,
0,16.12698944,5654.87694,0.276589917,12.31410465,
0,21.52694823,5846.883414,0.283734331,15.85799548,1.401120496
0,28.73502844,5604.913978,0.283367327,11.25188857,
0,38.35666117,5951.118238,0.276597637,11.57153727,
0,100,6015.201497,0.262311606,13.37172489,
