ahl,atc,mean,cv,variant,strain,date,file
0.000431448,0,106.0069565,1.123282721,347a,mg1655,171012,11
0.000563261,0,398.5292739,0.949452207,347a,mg1655,171012,12
0.000735344,0,482.5933951,0.922247759,347a,mg1655,171012,13
0.00096,0,2878.969403,0.470471366,347a,mg1655,171012,14
0.001253291,0,5807.146446,0.363019082,347a,mg1655,171012,15
0.001636186,0,9976.456312,0.353141089,347a,mg1655,171012,16
0.00213606,0,12978.09765,0.369306067,347a,mg1655,171012,17
0.002788652,0,14925.97921,0.395818935,347a,mg1655,171012,18
0.003640618,0,18590.60563,0.419716679,347a,mg1655,171012,19
0.004752869,0,20516.40807,0.414788772,347a,mg1655,171012,20
0.006204926,0,21938.54338,0.427518205,347a,mg1655,171012,21
0.008100603,0,23446.70642,0.449533759,347a,mg1655,171012,22
0.010575433,0,23315.34176,0.454196807,347a,mg1655,171012,23
0.013806351,0,23036.03279,0.457919875,347a,mg1655,171012,24
0.018024353,0,22549.08955,0.466034394,347a,mg1655,171012,25
0,0,38.45572536,1.562253071,347c,mg1655,170720,51
0.000553655,0,42.6275861,1.450055202,347c,mg1655,170720,52
0.000613067,0,45.27135995,1.438509539,347c,mg1655,170720,53
0.000678856,0,46.17962245,1.392680417,347c,mg1655,170720,54
0.000751703,0,46.50417925,1.401044502,347c,mg1655,170720,55
0.000832368,0,50.96636715,1.401750356,347c,mg1655,170720,56
0.00092169,0,49.78493739,1.301362024,347c,mg1655,170720,57
0.001020596,0,57.67506724,1.357647586,347c,mg1655,170720,58
0.001130116,0,64.69050791,1.321442211,347c,mg1655,170720,59
0.001251388,0,100.2340179,1.689869339,347c,mg1655,170720,60
0.001385674,0,117.5608995,1.93337593,347c,mg1655,170720,61
0.001534371,0,274.0318885,2.311342063,347c,mg1655,170720,62
0.001699024,0,626.9802052,2.060198106,347c,mg1655,170720,63
0.001881345,0,4191.207752,0.850845835,347c,mg1655,170720,64
0.002083232,0,6598.063759,0.650925758,347c,mg1655,170720,65
0.002306783,0,8408.982198,0.543428895,347c,mg1655,170720,66
0.002554323,0,9415.609215,0.531594269,347c,mg1655,170720,67
0.002828427,0,10769.00387,0.505203759,347c,mg1655,170720,68
0.003131945,0,12208.49295,0.499840625,347c,mg1655,170720,69
0.003468033,0,15131.36864,0.489202763,347c,mg1655,170720,70
0.003840187,0,15404.10273,0.496645261,347c,mg1655,170720,71
0.004252276,0,16015.94756,0.496035535,347c,mg1655,170720,72
0.004708587,0,15641.0047,0.469706755,347c,mg1655,170720,73
0.01,0,18288.52891,0.466264419,347c,mg1655,170720,74
0.05,0,17815.60079,0.471770597,347c,mg1655,170720,75
0,0,42.68705701,1.46349468,347c,mg1655,170724,51
