ahl,atc,mean,median,cv,variant,strain,date,file,note
1.02E-03,12.0815912,1959.473562,1998.00746,0.312974853,331/347d,mg1655,170725,154,
1.10E-03,12.0815912,2007.88488,2055.395767,0.321390791,331/347d,mg1655,170725,155,
0.001197037,12.0815912,1962.19567,1998.00746,0.324032469,331/347d,mg1655,170725,156,
0.001297511,12.0815912,1937.964141,1979.236332,0.312639314,331/347d,mg1655,170725,157,
0.001406418,12.0815912,2004.196816,2074.889192,0.279167172,331/347d,mg1655,170725,158,
0.001524467,12.0815912,2021.426731,2055.395767,0.310868878,331/347d,mg1655,170725,159,
0.001652424,12.0815912,2044.602485,2055.395767,0.337056592,331/347d,mg1655,170725,160,
0.001791121,12.0815912,2096.989931,2094.567494,0.372905616,331/347d,mg1655,170725,161,
0.00194146,12.0815912,2197.02017,2134.485756,0.428608901,331/347d,mg1655,170725,162,
0.002104417,12.0815912,2254.136863,2175.16478,0.464582286,331/347d,mg1655,170725,163,
0.002281053,12.0815912,4359.06788,3113.660758,0.861798203,331/347d,mg1655,170725,164,
0.002472514,12.0815912,6653.651614,5750.897082,0.725388139,331/347d,mg1655,170725,165,
0.002680046,12.0815912,8239.033791,7281.516964,0.671874816,331/347d,mg1655,170725,166,
0.002904998,12.0815912,10316.72879,9219.516285,0.57783794,331/347d,mg1655,170725,167,
0.00314883,12.0815912,12094.68873,10824.27455,0.537590391,331/347d,mg1655,170725,168,
0.00341313,12.0815912,14630.22793,13073.37791,0.48431108,331/347d,mg1655,170725,169,
0.003699613,12.0815912,14898.25313,13322.53032,0.472482086,331/347d,mg1655,170725,170,
0.004010142,12.0815912,16093.22749,14232.55507,0.487102182,331/347d,mg1655,170725,171,
0.004346736,12.0815912,17254.85867,15494.51298,0.467259384,331/347d,mg1655,170725,172,
0.004711582,12.0815912,18276.9496,16397.38655,0.460864844,331/347d,mg1655,170725,173,
0.005107051,12.0815912,19541.51135,17517.44613,0.460531826,331/347d,mg1655,170725,174,
0.005535715,12.0815912,20645.71425,18714.01383,0.44367375,331/347d,mg1655,170725,175,
0,28.73502844,2456.297502,2413.16002,0.360846703,331/347d,mg1655,170725,176,
8.67E-04,28.73502844,2481.080979,2459.150017,0.351064266,331/347d,mg1655,170725,177,
9.40E-04,28.73502844,2479.192484,2436.04649,0.348482582,331/347d,mg1655,170725,178,
1.02E-03,28.73502844,2490.176556,2436.04649,0.362550538,331/347d,mg1655,170725,179,
1.10E-03,28.73502844,2501.271025,2459.150017,0.359176834,331/347d,mg1655,170725,180,
0.001197037,28.73502844,2516.424968,2459.150017,0.370663764,331/347d,mg1655,170725,181,
